Tor,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,Habitat
1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,Pasture
2,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
3,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
4,0,-,-,0,-,-,0,-,-,0,0,-,0,-,-,Pasture
5,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
6,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
7,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
8,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
9,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
10,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
11,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
13,0,-,-,1,-,-,0,-,-,1,-,-,1,-,-,Pasture
14,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Pasture
15,1,-,-,1,-,-,1,-,-,0,-,-,0,0,-,Pasture
16,1,-,-,1,-,-,1,-,-,0,-,-,0,0,-,Pasture
17,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
18,0,-,-,0,-,-,0,0,-,0,-,-,0,-,-,Pasture
19,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
20,0,0,-,0,-,-,0,-,-,0,-,-,0,0,-,Pasture
21,1,-,-,1,-,-,0,1,-,0,0,-,0,-,-,Pasture
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Pasture
23,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
26,0,-,-,0,-,-,0,0,-,0,-,-,0,0,-,Pasture
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
28,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,Pasture
29,0,-,-,0,-,-,0,-,-,-,-,-,0,-,-,Pasture
30,0,0,0,0,0,-,0,0,0,0,-,-,0,0,0,Pasture
31,0,0,-,0,0,0,0,0,1,0,0,0,0,0,0,Pasture
32,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
33,1,-,-,1,-,-,0,0,1,1,-,-,0,0,1,Pasture
34,1,-,-,-,-,-,0,-,-,1,1,-,1,1,-,Pasture
35,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Pasture
36,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
37,1,-,-,1,-,-,1,0,-,1,-,-,0,0,0,Pasture
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
39,1,-,-,0,-,-,0,-,-,0,-,-,0,0,0,Pasture
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
42,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
43,0,0,0,0,0,-,0,0,-,0,0,0,0,0,-,Pasture
44,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Pasture
46,0,0,-,0,0,-,0,-,-,0,-,-,0,-,-,Pasture
47,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
48,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,Pasture
49,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
50,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
51,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
52,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
53,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
54,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
55,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Pasture
56,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
57,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
58,0,0,0,0,-,-,0,-,-,0,-,-,0,0,-,Pasture
59,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
60,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
62,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
63,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,Pasture
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
66,0,0,-,0,0,-,0,0,-,0,0,0,0,-,-,Pasture
67,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
68,0,0,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
69,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
70,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,Pasture
71,0,0,0,0,0,0,0,0,-,0,0,0,1,-,-,Pasture
72,0,0,0,0,1,-,1,-,-,0,0,0,0,1,0,Pasture
73,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
74,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
75,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
78,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
79,0,0,-,0,-,-,0,-,-,1,-,-,0,0,-,Pasture
80,0,-,-,0,0,-,0,-,-,0,0,0,0,-,-,Pasture
81,1,-,-,1,-,-,1,-,-,0,1,-,0,0,0,Pasture
82,0,0,0,0,0,1,0,0,0,0,0,0,1,-,-,Pasture
83,0,0,0,0,0,-,0,0,0,0,0,-,0,-,-,Pasture
84,0,0,-,0,0,-,0,-,-,1,-,-,0,0,-,Pasture
85,0,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Pasture
86,-,-,-,0,0,-,1,-,-,0,0,-,0,0,-,Pasture
87,1,-,-,1,-,-,1,1,-,1,-,-,1,-,-,Pasture
88,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Pasture
89,1,0,-,0,0,0,0,1,-,0,0,0,0,1,-,Pasture
90,0,0,-,1,-,-,1,-,-,0,-,-,1,-,-,Pasture
91,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
92,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
93,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
94,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
95,0,-,-,0,0,-,0,-,-,0,-,-,0,-,-,Pasture
96,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,Pasture
97,0,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Pasture
98,1,-,-,1,1,0,1,-,-,1,-,-,1,-,-,Pasture
99,0,0,0,1,-,-,1,-,-,1,-,-,0,1,-,Pasture
100,1,-,-,0,-,-,0,-,-,1,-,-,1,0,-,Pasture
101,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Pasture
102,1,-,-,1,-,-,0,1,-,1,-,-,1,-,-,Pasture
103,1,1,-,1,-,-,0,1,-,1,1,-,0,0,0,Pasture
104,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
105,1,-,-,1,1,-,1,-,-,1,-,-,0,1,-,Pasture
106,1,1,-,1,-,-,1,-,-,1,-,-,1,-,-,Pasture
107,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Pasture
108,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,Pasture
109,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,Pasture
110,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,Pasture
111,0,-,-,0,0,-,0,-,-,0,-,-,0,-,-,Pasture
112,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
113,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
114,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
115,1,0,1,0,-,-,1,-,-,0,0,0,0,0,0,Pasture
116,0,0,-,0,0,-,0,-,-,0,-,-,0,-,-,Pasture
117,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
118,0,0,-,0,0,-,0,-,-,0,-,-,0,-,-,Pasture
119,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,Pasture
120,0,-,-,0,0,0,0,-,-,0,-,-,0,-,-,Pasture
121,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Pasture
122,1,-,-,1,-,-,1,-,-,0,1,-,1,-,-,Pasture
123,0,0,0,0,0,-,0,0,0,0,0,0,1,-,-,Pasture
124,0,-,-,0,-,-,0,-,-,0,-,-,1,-,-,Pasture
126,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,Pasture
127,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Pasture
128,-,-,-,0,-,-,0,-,-,1,-,-,0,0,-,Pasture
129,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,Pasture
130,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,Pasture
131,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
132,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
133,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
134,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,Pasture
135,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Pasture
136,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
138,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,Tussock
144,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,Tussock
145,1,-,-,1,-,-,0,-,-,1,-,-,0,-,-,Tussock
146,1,-,-,1,-,-,1,-,-,0,-,-,0,1,-,Tussock
147,0,-,-,1,-,-,0,-,-,0,-,-,0,-,-,Tussock
148,0,-,-,1,-,-,-,-,-,0,-,-,1,-,-,Tussock
150,0,-,-,1,-,-,0,-,-,0,-,-,0,0,-,Tussock
151,1,-,-,1,-,-,1,-,-,0,-,-,1,-,-,Tussock
152,0,-,-,0,-,-,0,-,-,1,-,-,0,-,-,Tussock
153,0,-,-,1,-,-,0,1,-,0,-,-,1,1,-,Tussock
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tussock
155,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
156,0,-,-,0,-,-,0,-,-,0,-,-,-,-,-,Tussock
157,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,Tussock
158,0,-,-,1,-,-,0,-,-,0,-,-,0,-,-,Tussock
159,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,Tussock
160,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Tussock
161,1,-,-,0,1,-,0,1,-,0,0,0,0,0,0,Tussock
162,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Tussock
163,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Tussock
164,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
165,0,0,0,0,1,-,1,1,-,1,-,-,0,1,0,Tussock
172,0,0,0,0,0,0,0,0,0,1,-,-,0,0,0,Tussock
173,0,-,-,0,-,-,0,-,-,0,-,-,1,-,-,Tussock
174,1,-,-,0,-,-,1,-,-,1,-,-,1,0,-,Tussock
175,0,0,-,0,1,-,0,-,-,0,-,-,1,0,-,Tussock
176,0,1,-,1,1,-,0,1,-,1,-,-,0,0,0,Tussock
177,0,1,-,0,-,-,1,-,-,1,-,-,1,-,-,Tussock
178,1,-,-,1,-,-,0,0,1,1,-,-,1,0,1,Tussock
179,0,0,-,0,-,-,1,-,-,1,-,-,0,0,-,Tussock
180,0,-,-,0,-,-,0,0,-,0,-,-,0,-,-,Tussock
181,0,-,-,0,-,-,0,0,-,0,-,-,0,-,-,Tussock
182,0,1,1,0,1,-,1,-,-,0,-,-,1,1,-,Tussock
183,0,0,1,1,-,-,1,-,-,1,-,-,1,1,-,Tussock
184,0,-,-,-,-,-,1,-,-,1,-,-,0,0,-,Tussock
185,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,Tussock
186,1,-,-,1,-,-,0,0,1,1,-,-,1,0,-,Tussock
187,0,-,-,-,-,-,0,0,0,0,-,-,0,0,-,Tussock
188,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
189,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,Tussock
194,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
195,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
196,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
197,1,-,-,0,1,-,0,0,1,1,-,-,0,0,1,Tussock
198,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
199,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,Tussock
200,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Tussock
201,0,-,-,-,-,-,0,0,-,0,-,-,0,-,-,Tussock
202,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
203,0,0,0,0,-,-,0,0,1,0,-,-,0,0,0,Tussock
204,0,0,0,0,-,-,0,0,0,1,-,-,0,0,0,Tussock
205,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
206,1,-,-,-,-,-,-,-,-,1,-,-,0,-,-,Tussock
207,0,-,-,-,-,-,0,-,-,0,0,-,0,-,-,Tussock
208,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Tussock
209,0,1,-,1,-,-,0,0,0,0,0,0,0,0,0,Tussock
210,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
211,0,0,0,1,-,-,0,0,1,1,-,-,1,1,-,Tussock
212,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Tussock
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tussock
214,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
215,0,0,0,-,-,-,0,-,-,1,-,-,0,-,-,Tussock
216,0,-,-,-,-,-,0,-,-,0,0,0,0,-,-,Tussock
217,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Tussock
220,0,0,0,0,-,-,0,-,-,1,-,-,0,-,-,Tussock
221,0,0,0,0,-,-,1,-,-,1,-,-,1,-,-,Tussock
222,1,-,-,0,0,0,1,-,-,1,-,-,1,1,-,Tussock
223,1,-,-,1,0,-,1,-,-,0,0,0,0,0,0,Tussock
224,1,-,-,0,-,-,1,-,-,0,-,-,0,-,-,Tussock
225,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,Tussock
226,0,-,-,0,-,-,0,-,-,1,-,-,1,-,-,Tussock
227,1,-,-,0,1,-,1,-,-,1,-,-,0,-,-,Tussock
228,-,-,-,0,1,-,0,-,-,1,-,-,0,-,-,Tussock
229,0,1,-,0,1,-,1,-,-,1,-,-,1,-,-,Tussock
230,1,-,-,0,-,-,1,-,-,1,-,-,1,-,-,Tussock
231,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
232,1,-,-,0,0,1,1,-,-,1,-,-,1,-,-,Tussock
233,0,1,-,0,1,-,1,-,-,1,-,-,1,-,-,Tussock
234,1,0,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
235,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,Tussock
236,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
237,0,-,-,0,-,-,0,-,-,0,0,-,0,-,-,Tussock
238,1,-,-,0,1,-,1,-,-,1,-,-,0,0,1,Tussock
239,1,-,-,0,-,-,0,-,-,1,-,-,1,0,-,Tussock
240,1,-,-,1,-,-,1,-,-,1,-,-,1,1,-,Tussock
241,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
242,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
243,0,-,-,0,-,-,0,-,-,-,-,-,0,-,-,Tussock
244,0,-,-,0,1,-,1,-,-,1,-,-,1,-,-,Tussock
245,1,-,-,1,-,-,0,1,-,1,-,-,1,-,-,Tussock
247,1,-,-,1,-,-,1,-,-,1,-,-,0,0,-,Tussock
248,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
249,1,-,-,1,-,-,0,-,-,1,-,-,1,-,-,Tussock
250,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
251,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
252,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
253,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
254,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
255,0,0,1,1,-,-,1,-,-,1,-,-,0,1,0,Tussock
256,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
257,1,-,-,1,-,-,1,-,-,1,-,-,0,0,-,Tussock
258,1,-,-,1,-,-,1,1,-,1,-,-,1,-,-,Tussock
259,0,-,-,1,-,-,0,-,-,0,-,-,0,-,-,Tussock
260,0,-,-,1,-,-,1,-,-,1,-,-,0,0,-,Tussock
261,1,-,-,0,-,-,1,-,-,1,-,-,1,-,-,Tussock
262,1,-,-,0,-,-,0,-,-,1,-,-,0,1,-,Tussock
263,0,1,-,1,-,-,1,-,-,1,1,-,1,-,-,Tussock
264,1,-,-,1,0,-,1,-,-,0,0,0,1,-,-,Tussock
265,0,0,-,0,-,-,0,0,-,1,-,-,1,-,-,Tussock
266,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
267,1,-,-,0,0,0,0,0,0,0,0,0,1,0,0,Tussock
268,1,-,-,0,-,-,1,-,-,0,-,-,0,-,-,Tussock
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tussock
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tussock
271,0,1,-,1,0,-,1,-,-,1,1,1,1,-,-,Tussock
272,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,Tussock
273,0,-,-,0,-,-,0,-,-,1,-,-,0,-,-,Tussock
274,0,0,-,0,-,-,0,-,-,0,-,-,0,0,-,Tussock
275,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Tussock
276,0,-,-,-,-,-,0,-,-,0,-,-,0,-,-,Tussock
277,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
278,0,0,0,0,0,0,0,-,-,0,0,-,0,-,-,Tussock
279,0,0,0,0,-,-,0,0,-,0,0,0,0,0,0,Tussock
280,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
281,0,-,-,-,-,-,1,-,-,0,-,-,0,-,-,Tussock
282,0,0,0,0,0,0,-,-,-,0,0,1,0,0,-,Tussock
283,0,0,0,0,0,-,0,0,0,0,-,-,0,0,0,Tussock
284,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
285,0,1,-,1,-,-,0,1,1,0,1,1,1,-,-,Tussock
286,0,0,0,1,-,-,1,-,-,0,1,-,1,-,-,Tussock
287,0,0,0,0,0,-,0,0,0,0,-,-,0,0,0,Tussock
288,0,-,-,0,0,0,0,-,-,0,-,-,0,-,-,Tussock
289,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
290,0,0,0,0,1,-,0,0,0,0,0,-,0,0,0,Tussock
291,0,-,-,0,0,0,0,-,-,0,-,-,0,-,-,Tussock
292,0,-,-,1,-,-,0,-,-,1,-,-,0,-,-,Tussock
293,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,Tussock
294,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
295,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
296,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
297,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
298,0,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
299,0,-,-,0,0,0,0,-,-,-,-,-,0,-,-,Tussock
300,1,-,-,1,-,-,0,-,-,1,-,-,1,-,-,Tussock
301,1,-,-,1,-,-,1,-,-,1,1,-,1,-,-,Tussock
302,0,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
303,1,-,-,1,-,-,0,0,0,0,0,0,1,-,-,Tussock
304,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Tussock
305,0,0,0,0,1,-,0,0,0,0,0,0,1,-,-,Tussock
306,1,-,-,1,-,-,1,1,-,1,-,-,1,-,-,Tussock
307,0,-,-,1,-,-,1,-,-,1,-,-,0,0,-,Tussock
308,1,-,-,1,-,-,0,1,-,1,-,-,0,1,-,Tussock
309,-,-,-,-,-,-,1,-,-,1,-,-,0,-,-,Tussock
310,1,-,-,1,-,-,1,-,-,1,-,-,0,0,-,Tussock
311,0,-,-,1,-,-,1,-,-,1,-,-,0,-,-,Tussock
312,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
313,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,Tussock
314,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
315,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
316,0,-,-,0,-,-,0,-,-,0,0,-,0,-,-,Tussock
317,0,-,-,0,-,-,0,-,-,0,-,-,1,-,-,Tussock
318,0,1,0,1,0,-,0,0,1,1,0,-,1,1,-,Tussock
319,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
322,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
323,1,1,-,0,-,-,0,-,-,1,-,-,1,-,-,Tussock
324,1,-,-,0,-,-,0,-,-,1,-,-,0,-,-,Tussock
325,0,1,-,0,-,-,1,-,-,0,1,-,1,-,-,Tussock
326,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,Tussock
327,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Tussock
328,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,Tussock
329,-,-,-,-,-,-,0,-,-,1,-,-,1,-,-,Tussock
330,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,Tussock
331,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
332,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
333,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,Tussock
334,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Tussock
335,-,-,-,0,-,-,-,-,-,0,-,-,0,-,-,Tussock
337,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
338,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,Tussock
340,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,Tussock
341,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Tussock
342,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Tussock
343,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,Tussock
344,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,Tussock
345,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,Tussock
346,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
347,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,Tussock
348,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Tussock
349,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,Tussock
350,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,Tussock
351,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,Tussock
352,0,0,-,0,-,-,0,0,-,0,-,-,0,-,-,Tussock
